t,p1_1,p1_2,p1_3,p1_4,p1_5,p2_1,p2_2,p2_3,p2_4,p2_5,q1_1,q1_2,q1_3,q1_4,q1_5,q2_1,q2_2,q2_3,q2_4,q2_5
0,1,2,3,4,5,0,0,0,0,0,1,2,3,4,5,0,0,0,0,0
0.0100200400801603,1,2,3,4,5,0,0,0,0,0,1,2,3,4,5,0,0,0,0,0
0.0200400801603206,1,2,3,3.9498997995992,4.8997995991984,0,0,0,0,0,1,2,3,3.9498997995992,4.8997995991984,0,0,0,0,0
0.030060120240481,1,2.01953807414428,2.99849398195188,3.90080361123048,4.80311324050907,0,0,0,0,0,1,2.01953807414428,2.99849398195188,3.90080361123048,4.80311324050907,0,0,0,0,0
0.0400801603206413,1,2.03798179529407,2.99578335067008,3.85288708669825,4.70999082272641,0,0,0,0,0,1,2.03798179529407,2.99578335067008,3.85288708669825,4.70999082272641,0,0,0,0,0
0.0501002004008016,1,2.05536380983802,2.99195295289491,3.80611561998379,4.62027828707267,0,0,0,0,0,1,2.05536380983802,2.99195295289491,3.80611561998379,4.62027828707267,0,0,0,0,0
0.0601202404809619,1,2.07171628622444,2.98708267138504,3.76045562569392,4.53382858000279,0,0,0,0,0,1,2.07171628622444,2.98708267138504,3.76045562569392,4.53382858000279,0,0,0,0,0
0.0701402805611222,1,2.08707088981568,2.98124769950509,3.71587451381853,4.45050132813197,0,0,0,0,0,1,2.08707088981568,2.98124769950509,3.71587451381853,4.45050132813197,0,0,0,0,0
0.0801603206412826,1,2.10145876099681,2.97451880104563,3.67234066474217,4.3701625284387,0,0,0,0,0,1,2.10145876099681,2.97451880104563,3.67234066474217,4.3701625284387,0,0,0,0,0
0.0901803607214429,1,2.11491049629538,2.9669625560556,3.62982340453688,4.29268425301816,0,0,0,0,0,1,2.11491049629538,2.9669625560556,3.62982340453688,4.29268425301816,0,0,0,0,0
0.100200400801603,1,2.12745613228442,2.95864159342662,3.58829298056114,4.21794436769567,0,0,0,0,0,1,2.12745613228442,2.95864159342662,3.58829298056114,4.21794436769567,0,0,0,0,0
0.110220440881764,1,2.13912513205531,2.94961481092998,3.54772053738642,4.14582626384285,0,0,0,0,0,1,2.13912513205531,2.94961481092998,3.54772053738642,4.14582626384285,0,0,0,0,0
0.120240480961924,1,2.14994637406082,2.93993758337051,3.50807809307061,4.07621860277071,0,0,0,0,0,1,2.14994637406082,2.93993758337051,3.50807809307061,4.07621860277071,0,0,0,0,0
0.130260521042084,1,2.17924946807855,2.92966195948694,3.46933851579525,4.00901507210357,0,0,0,0,0,1,2.17924946807855,2.92966195948694,3.46933851579525,4.00901507210357,0,0,0,0,0
0.140280561122244,1,2.20621357303918,2.91903024824475,3.43166890093041,3.94430755361606,0,0,0,0,0,1,2.20621357303918,2.91903024824475,3.43166890093041,3.94430755361606,0,0,0,0,0
0.150300601202405,1,2.23096459919784,2.90806901612658,3.39502436957949,3.88197972303239,0,0,0,0,0,1,2.23096459919784,2.90806901612658,3.39502436957949,3.88197972303239,0,0,0,0,0
0.160320641282565,1,2.2536220612414,2.89680341118974,3.35936220384841,3.82192099650709,0,0,0,0,0,1,2.2536220612414,2.89680341118974,3.35936220384841,3.82192099650709,0,0,0,0,0
0.170340681362725,1,2.27429939958388,2.88525723500575,3.32464173945507,3.76402624390439,0,0,0,0,0,1,2.27429939958388,2.88525723500575,3.32464173945507,3.76402624390439,0,0,0,0,0
0.180360721442886,1,2.29310428555612,2.87345301098692,3.29082426371032,3.70819551643372,0,0,0,0,0,1,2.29310428555612,2.87345301098692,3.29082426371032,3.70819551643372,0,0,0,0,0
0.190380761523046,1,2.31013891129667,2.86141204928103,3.25787291860146,3.65433378792188,0,0,0,0,0,1,2.31013891129667,2.86141204928103,3.25787291860146,3.65433378792188,0,0,0,0,0
0.200400801603206,1,2.32550026511047,2.84915450840624,3.22575260872264,3.60235070903903,0,0,0,0,0,1,2.32550026511047,2.84915450840624,3.22575260872264,3.60235070903903,0,0,0,0,0
0.210420841683367,1,2.33928039302356,2.83669945378948,3.19442991380946,3.55216037382945,0,0,0,0,0,1,2.33928039302356,2.83669945378948,3.19442991380946,3.55216037382945,0,0,0,0,0
0.220440881763527,1,2.35156664722531,2.82406491336367,3.16387300564719,3.5036810979307,0,0,0,0,0,1,2.35156664722531,2.82406491336367,3.16387300564719,3.5036810979307,0,0,0,0,0
0.230460921843687,1,2.36244192205537,2.81126793037117,3.13405156913347,3.45683520789576,0,0,0,0,0,1,2.36244192205537,2.81126793037117,3.13405156913347,3.45683520789576,0,0,0,0,0
0.240480961923848,1,2.37198487815937,2.79832461351346,3.10493672728766,3.41154884106186,0,0,0,0,0,1,2.37198487815937,2.79832461351346,3.10493672728766,3.41154884106186,0,0,0,0,0
0.250501002004008,1,2.38027015540612,2.78525018458014,3.07650097000894,3.36775175543774,0,0,0,0,0,1,2.38027015540612,2.78525018458014,3.07650097000894,3.36775175543774,0,0,0,0,0
0.260521042084168,1,2.38736857512959,2.77205902368367,3.0487180863956,3.32537714910753,0,0,0,0,0,1,2.38736857512959,2.77205902368367,3.0487180863956,3.32537714910753,0,0,0,0,0
0.270541082164329,1,2.39334733223047,2.75876471221972,3.02156310044709,3.28436148867445,0,0,0,0,0,1,2.39334733223047,2.75876471221972,3.02156310044709,3.28436148867445,0,0,0,0,0
0.280561122244489,1,2.3982701776455,2.74538007366735,2.99501220997951,3.24464434629168,0,0,0,0,0,1,2.3982701776455,2.74538007366735,2.99501220997951,3.24464434629168,0,0,0,0,0
0.290581162324649,1,2.4021975916671,2.73191721233716,2.96904272859361,3.20616824485005,0,0,0,0,0,1,2.4021975916671,2.73191721233716,2.96904272859361,3.20616824485005,0,0,0,0,0
0.30060120240481,1,2.40518694857204,2.71838755017045,2.9436330305423,3.16887851091416,0,0,0,0,0,1,2.40518694857204,2.71838755017045,2.9436330305423,3.16887851091416,0,0,0,0,0
0.31062124248497,1,2.40729267299427,2.70480186168695,2.9187624983528,3.13272313501865,0,0,0,0,0,1,2.40729267299427,2.70480186168695,2.9187624983528,3.13272313501865,0,0,0,0,0
0.32064128256513,1,2.40856638845601,2.6911703071741,2.89441147306511,3.09765263895612,0,0,0,0,0,1,2.40856638845601,2.6911703071741,2.89441147306511,3.09765263895612,0,0,0,0,0
0.330661322645291,1,2.40905705844971,2.67750246420598,2.87056120695615,3.06361994970632,0,0,0,0,0,1,2.40905705844971,2.67750246420598,2.87056120695615,3.06361994970632,0,0,0,0,0
0.340681362725451,1,2.40881112044439,2.6638073575756,2.84719381862486,3.03058027967412,0,0,0,0,0,1,2.40881112044439,2.6638073575756,2.84719381862486,3.03058027967412,0,0,0,0,0
0.350701402805611,1,2.40787261317082,2.6500934877203,2.8242922503202,2.9984910129201,0,0,0,0,0,1,2.40787261317082,2.6500934877203,2.8242922503202,2.9984910129201,0,0,0,0,0
0.360721442885772,1,2.40628329752229,2.63636885771559,2.80184022739966,2.96731159708374,0,0,0,0,0,1,2.40628329752229,2.63636885771559,2.80184022739966,2.96731159708374,0,0,0,0,0
0.370741482965932,1,2.40408277139113,2.62264099890941,2.77982221981171,2.93700344071402,0,0,0,0,0,1,2.40408277139113,2.62264099890941,2.77982221981171,2.93700344071402,0,0,0,0,0
0.380761523046092,1,2.40130857874454,2.60891699526491,2.75822340550077,2.90752981573663,0,0,0,0,0,1,2.40130857874454,2.60891699526491,2.75822340550077,2.90752981573663,0,0,0,0,0
0.390781563126253,1,2.39799631322875,2.59520350647656,2.73702963563848,2.87885576480039,0,0,0,0,0,1,2.39799631322875,2.59520350647656,2.73702963563848,2.87885576480039,0,0,0,0,0
